PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Afghanistan;649;41,1;35;7;74;41;4,5;43;2;60;66;
AfriqueduSud;1221;59,9;19;12;74;28;2,3;29;6;59;64;14300
Albanie;27;2,8;10;11;2,5;8;1,4;16;17;75;79;15199
Algérie;2382;44,9;21;4;60;17;2,8;31;6;76;78;11863
Allemagne;349;83,4;9;12;79;3;1,5;14;22;79;83;59478
Andorre;0,47;0,08;7;6;0,08;5;1,1;13;15;81;86;
Angola;1247;35,6;38;8;72;48;5,2;45;3;59;65;5963
Antigua-et-Barbuda;0,44;0,09;12;6;0,1;5;1,6;19;11;77;82;20774
Arabiesaoudite;2150;36,4;17;3;48;6;2,4;26;3;77;80;
Argentine;2792;45,5;14;9;52;9;1,9;23;12;73;79;23421
Arménie;28;2,8;12;12;2,6;8;1,6;20;13;68;78;15119
Aruba;0,18;0,11;7;11;0,09;13;1,2;16;16;72;78;
Australie;7683;26,2;12;7;32;3;1,6;18;17;82;85;54898
Autriche;83;8,9;9;9;8,9;2;1,5;14;20;80;85;58592
Azerbaïdjan;83;10,4;12;6;11;16;1,7;23;7;71;76;15209
Bahamas;5,4;0,41;11;7;0,45;10;1,4;19;9;71;78;31015
Bahreïn;0,78;1,5;11;2;1,8;5;1,8;20;4;78;80;
Bangladesh;130;171,2;17;5;204;20;2;26;6;72;76;6836
Barbade;0,43;0,28;11;9;0,27;10;1,6;17;16;76;80;14862
Belgique;30;11,7;10;9;12;3;1,6;17;20;80;84;59337
Belize;23;0,41;18;6;0,54;10;2;28;5;68;75;6677
Bénin;113;13,4;36;9;25;54;4,9;42;3;58;62;3592
Bhoutan;38;0,78;12;6;0,87;21;1,4;22;6;71;74;
Biélorussie;203;9,5;9;15;8,4;2;1,5;17;17;68;78;20353
Bolivie;1083;12,2;22;9;17;25;2,6;31;5;62;68;8616
Bosnie-Herzégovine;51;3,2;8;16;2,7;5;1,3;15;18;73;77;16650
