pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Afghanistan;AFG;42,2;43;3,8;4,4;61;67;63,3;19,793;45,98341;26,616;1690;;37,266040802002;0,478;10,26384398;2,98506999
Albania;ALB;2,8;16;23,5;1,4;76;81;103,7;14,91;35,54197;63,799;15320;95,53947;98,4499969482422;0,796;14,44799995;11,28645502
Algeria;DZA;45,6;30;9,7;2,8;76;79;18,9;147,689;10,5245;74,772;11950;97,5883;;0,745;14,62689602;8,069284397
Angola;AGO;36,7;45;4,3;5,1;61;66;28,5;62,307;59,20556;68,081;5990;;72,2799987792969;0,586;12,1721;5,417390823
Antigua and Barbuda;ATG;0,1;18;16,1;1,6;77;82;213,1;1,37;;24,346;21070;94,19429;;0,788;14,18462641;9,293740746
Argentina;ARG;45,8;23;16,2;1,9;75;81;16,3;383,067;7,686438;92,347;23280;99,184;;0,842;17,8748703;11,14726927
Armenia;ARM;2,8;20;20,3;1,6;71;80;97,7;12,641;30,80131;63,573;15200;91,94625;99,7886123657227;0,759;13,11676025;11,33030033
Aruba;ABW;0,1;16;23,9;1,2;74;80;591,4;2,497;;44,052;41610;;97,9899978637695;#N/D;#N/D;#N/D
Australia;AUS;26,4;18;22,6;1,6;82;86;3,4;1423,473;2,765993;86,488;55330;96,38096;;0,951;21,05459023;12,72681999
Austria;AUT;9;14;26,7;1,5;80;85;108,3;433,258;3,906833;59,256;60230;88,61718;;0,916;16,00795937;12,25669003
Azerbaijan;AZE;10,4;23;12,5;1,7;71;76;125,3;42,607;34,84196;57,17;15600;93,7475;99,7959823608398;0,745;13,49689007;10,5429697
Bahamas;BHS;0,4;18;13,9;1,4;71;78;76,5;9,908;3,262124;83,492;31050;;;0,812;12,89945;12,64192386
Bahrain;BHR;1,5;20;6,9;1,8;80;82;1880,2;33,904;0,9894256;89,743;51370;97,27864;;0,875;16,29755974;11,04658985
Bangladesh;BGD;173;26;9,3;1,9;72;76;1315,1;329,484;37,87102;39,711;6870;;74,9088973999023;0,661;12,44198036;7,379059792
Barbados;BRB;0,3;17;23,1;1,6;76;80;655;4,44;2,818063;31,324;14880;94,99257;;0,79;15,71338458;9,852700596
Belarus;BLR;9,5;17;24,5;1,5;70;80;47;60,259;8,313313;80,326;21130;95,61727;99,8740005493164;0,808;15,16996956;12,14358044
Belgium;BEL;11,7;16;26,2;1,6;80;85;385;521,861;0,9285538;98,153;59360;98,76482;;0,937;19,60421944;12,37567997
Belize;BLZ;0,4;27;8;2;72;78;17,8;1,586;21,43769;46,396;9370;96,18248;;0,683;12,99168968;8,847599983
Benin;BEN;13,7;42;4,9;4,8;59;62;118,4;15,205;28,87396;49,534;3650;97,03352;45,8400001525879;0,525;10,76667976;4,304786445
Bhutan;BTN;0,8;22;9,3;1,4;71;74;20,4;2,483;56,46911;43,686;11300;87,42576;70,9499969482422;0,666;13,22500478;5,170262283
Bolivia (Plurinational State of);BOL;12,4;30;7,6;2,5;66;71;11,3;36,573;30,00065;70,83;8660;90,87779;93,8525619506836;0,692;14,94697094;9,827750206
Bosnia and Herzegovina;BIH;3,2;15;25,8;1,3;74;78;63,2;19,801;11,97932;49,841;17450;;98,0999984741211;0,78;13,8;10,53631973
Botswana;BWA;2,7;32;5,9;2,7;63;69;4,6;15,782;23,44074;72,224;15610;;;0,693;12,26513765;10,34
Brazil;BRA;216,4;20;14,6;1,6;73;79;25,8;1444,733;9,529819;87,555;15830;96,29925;94,3000030517578;0,754;15,59906006;8,128813955
Brunei Darussalam;BRN;0,5;22;10,4;1,7;72;77;77,9;12,003;1,336576;78,854;66770;93,53285;97,5899963378906;0,829;13,95178032;9,18
Bulgaria;BGR;6,7;14;29,2;1,6;70;76;62,6;69,888;6,585689;76,363;27380;86,4454;98,4199981689453;0,795;13,89729023;11,41318035
Burkina Faso;BFA;23,3;43;4,1;4,6;59;62;82,9;17,369;73,81441;31,877;2280;76,42387;46,0400009155273;0,449;9,142100334;2,114962259
Burundi;BDI;13,2;45;3,8;4,9;61;64;496,7;3,399;86,09478;14,417;790;94,87551;74,7099990844727;0,426;10,72272189;3,129266883
Cabo Verde;CPV;0,6;26;8,7;1,9;73;81;147,2;1,704;11,29027;67,545;7180;92,86236;90,7799987792969;0,662;12,55461444;6,287719287
Cambodia;KHM;16,9;29;9,7;2,3;69;74;92,6;25,291;39,42049;25,114;4560;90,54321;83,9100036621094;0,593;11,46772;5,088
Cameroon;CMR;28,6;42;4,2;4,3;60;63;59,9;39,881;43,30416;58,733;3990;92,87395;78,2300033569336;0,576;13,10859922;6,15131
Canada;CAN;38,8;15;25,9;1,5;81;85;4,2;1644,037;1,556357;81,752;52720;99,8825;;0,936;16,39625931;13,83442722
Central African Republic;CAF;5,7;48;4,1;5,8;53;58;9;2,323;68,94441;43,12;990;;37,4900016784668;0,404;8,040171714;4,334
Chad;TCD;18,3;47;3,4;6,1;52;55;14,1;11,154;69,46343;24,063;1550;;26,7600002288818;0,394;8,035914334;2,57377421
Chile;CHL;19,6;18;18,3;1,5;79;83;26;252,94;7,283526;87,912;26680;94,74067;97,0400009155273;0,855;16,73130035;10,9349663
China;CHN;1425,7;17;18,6;1,2;76;82;148,5;14722,801;24,85378;63,56;19310;;97,1500015258789;0,768;14,2361149;7,600118446
Hong Kong, China (SAR);HKG;7,5;12;28,7;0,8;83;89;6814,3;349,445;0,1895583;100;70840;95,72751;;0,952;17,27816963;12,22620964
Macao SAR, China;MAC;0,7;15;19,5;1,1;83;88;21724;24,333;1,280483;100;70930;96,78639;97,1100006103516;#N/D;#N/D;#N/D
Colombia;COL;52,1;21;13,5;1,7;75;80;46,2;271,347;16,60805;82,05;16810;93,13491;95,6363296508789;0,752;14,44274998;8,862859726
Comoros;COM;0,9;38;6,5;3,8;63;67;449,6;1,235;35,60059;29,864;3580;79,83747;61,9900016784668;0,558;11,92432393;5,078649
Congo;COG;6,1;41;4,6;4;62;65;17,5;10,1;36,78384;68,736;3410;;80,6100006103516;0,571;12,33081527;6,166
Costa Rica;CRI;5,2;20;15,8;1,5;78;83;101,5;61,521;18,61562;82,042;21150;96,34224;98,0400009155273;0,809;16,54577065;8,804059982
Côte d'Ivoire;CIV;28,9;41;3,8;4,3;59;61;88,6;61,143;45,56653;52,661;5680;85,57232;;0,55;10,67558002;5,199138977
Croatia;HRV;4;14;29,6;1,4;77;82;72,1;57,204;6,466039;58,219;35030;88,0407;99,4499969482422;0,858;15,11209965;12,19108434
Cuba;CUB;11,2;16;22;1,5;76;81;105;107,352;18,0478;77,401;;95,57823;99,6731109619141;0,764;14,44305992;12,49773438
Curacao;CUW;0,2;17;21,4;1,6;73;80;450,9;2,596;;89,025;23890;;;#N/D;#N/D;#N/D
Cyprus;CYP;1,3;16;20,4;1,3;80;84;135,4;24,612;2,731652;66,911;40650;97,49342;99,3600006103516;0,896;15,64826965;12,44017029
Czechia;CZE;10,5;16;26,3;1,7;77;83;135,9;245,349;2,610028;74,377;43760;89,3503;;0,889;16,21968079;12,86931038
Korea (Democratic People's Rep. of);PRK;26,2;19;17,3;1,8;71;76;216,5;15,847;44,1608;62,916;;;;..;10,78317;..
Congo (Democratic Republic of the);COD;102,3;47;4,6;6,1;59;63;43,7;45,308;55,91112;46,837;1140;;80,0199966430664;0,479;9,817864451;7,018696516
Denmark;DNK;5,9;16;26,5;1,7;80;84;138,8;356,085;2,114526;88,367;67130;98,53748;;0,948;18,71479988;12,96049023
Djibouti;DJI;1,1;30;7,1;2,7;61;66;48,4;3,423;1,216456;78,38;5320;59,96016;;0,509;7,43298;4,1
Dominica;DMA;0,1;19;14,5;1,6;71;78;97;507;;71,7;12050;;;0,72;13,3191862;8,142186
Dominican Republic;DOM;11,3;27;11,2;2,2;71;78;232,4;78,845;8,955323;83,848;19530;92,87434;95,1699981689453;0,767;14,46655802;9,306864107
Ecuador;ECU;18,2;25;11,3;2;76;81;72,5;98,808;31,77071;64,57;11590;91,64154;93,6260986328125;0,74;14,62423038;8,817119598
Egypt;EGY;112,7;33;7,7;2,8;68;73;111,5;369,309;20,37913;42,967;13050;97,02531;73,0899963378906;0,731;13,78649972;9,573026174
El Salvador;SLV;6,4;25;11,6;1,8;69;78;305,8;24,639;15,65422;74,767;9600;80,23355;89,9845275878906;0,675;12,67134767;7,150929928
Equatorial Guinea;GNQ;1,7;38;5,1;4,1;60;64;59,7;10,022;56,1105;74,01;12040;;;0,596;9,73494;5,910863
Eritrea;ERI;3,7;39;6,1;3,7;65;69;30,4;2,084;62,85835;42,625;;51,75237;;0,492;8,064524628;4,8872352
Estonia;EST;1,3;16;27;1,7;75;83;30,5;30,65;2,964256;69,609;42720;93,68129;99,870002746582;0,89;15,92895985;13,54843044
Eswatini (Kingdom of);SWZ;1,2;34;6,2;2,8;54;62;69,2;3,835;12,69884;24,576;8980;82,52357;89,2799987792969;0,597;13,74434586;5,596
Ethiopia;ETH;126,5;39;4,9;4;64;70;123,4;96,611;64,08641;22,661;2550;;;0,498;9,651071421;3,201520681
