PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Algérie;2382;36;19;5;47;22;2,3;27;5;72;75;8110
Égypte;1001;82,6;25;5;123;23;2,9;31;5;71;75;5680
Libye;1760;6,4;22;4;9;14;2,5;31;4;73;78;16400
Maroc;447;32,3;19;6;39;30;2,2;28;6;70;75;4400
Sahara occidental;266;0,5;32;9;1,2;60;4,3;39;4;59;63;
Soudan;2506;44,6;33;9;91;59;4,5;40;4;60;63;1990
Tunisie;164;10,7;18;6;13;18;2,1;24;7;73;77;7810
Bénin;113;9,1;40;11;22;78;5,4;44;3;54;58;1510
Burkina Faso;274;17;43;12;47;73;5,8;45;2;55;57;1170
Cap-Vert;4;0,5;22;5;0,6;19;2,5;32;6;70;78;3530
Côte d'Ivoire;322;22,6;37;13;46;97;4,9;41;4;51;54;1640
Gambie;11;1,8;39;9;4;68;5;44;2;57;60;1330
Ghana;239;25;31;8;49;45;4,1;38;4;63;65;1530
Guinée;246;10,2;39;13;23;86;5,3;43;3;53;56;940
Guinée-Bissau;36;1,6;39;16;3,3;103;5,1;41;3;47;50;1060
Liberia;111;4,1;43;12;11;78;5,8;43;3;56;58;290
Mali;1240;15,4;45;15;35;116;6,4;48;3;50;53;1190
Mauritanie;1026;3,5;33;9;7;71;4,4;40;3;57;61;1940
Niger;1267;16,1;48;12;55;88;7;49;2;54;55;680
Nigeria;924;162,3;41;16;433;89;5,7;43;3;51;53;2070
Sénégal;197;12,8;36;9;29;51;4,7;44;2;58;61;1810
Sierra Leone;72;5,4;37;15;14;89;5;42;4;51;56;790
Togo;57;5,8;36;8;14;55;4,7;42;4;60;65;850
Burundi;28;10,2;42;10;27;66;6,4;46;3;56;59;390
Comores;2,2;0,8;36;8;1,7;65;4,8;43;3;60;63;1180
Djibouti;23;0,9;29;10;1,6;76;3,7;35;3;57;60;2480
Érythrée;118;5,9;34;8;11;43;4,7;43;4;60;64;580
Éthiopie;1104;87,1;37;10;174;77;5,3;44;3;54;57;930
Kenya;580;41,6;37;10;97;59;4,7;42;3;56;59;1570
Madagascar;587;21,3;35;6;54;42;4,6;43;3;65;68;990
Malawi;118;15,9;42;15;37;84;5,7;45;3;54;54;780
Maurice;2;1,29;12;7;1,6;12;1,5;22;7;69;77;13270
Mayotte;0,4;0,21;33;3;0,5;6;4,2;46;2;74;81;
Mozambique;802;23,1;41;14;59;86;5,6;45;3;50;55;880
Ouganda;241;34,5;46;12;106;74;6,4;48;3;53;55;1190
Réunion;2,5;0,9;17;6;1,1;6;2,3;25;8;74;81;
Rwanda;26;10,9;33;12;23;50;4,6;42;3;54;57;1130
Seychelles;0,5;0,09;18;8;0,1;11;2,4;23;8;68;78;16790
Somalie;638;9,9;43;15;23;107;6,4;45;2;50;53;
Tanzanie;945;46,2;40;11;138;51;5,4;45;3;56;57;1360
Zambie;753;13,5;46;15;45;84;6,3;46;3;49;49;1280
Zimbabwe;391;12,1;34;15;25;57;4,1;44;4;46;45;
Angola;1247;19,6;43;15;48;102;5,7;47;3;49;52;5190
Cameroun;475;20,1;37;15;44;91;4,8;41;4;50;52;2190
Centrafricaine (République);623;5;37;15;10;102;4,7;41;4;48;51;750
Congo;342;4,1;36;11;9;68;4,7;40;4;56;59;3040
Congo (Rép. dém. du);2345;67,8;45;17;149;111;6,1;46;3;47;50;300
Gabon;268;1,5;27;9;2,8;45;3,4;35;4;62;64;12450
Guinée équatoriale;28;0,7;37;15;1,7;95;5,3;39;3;50;53;19330
Sao Tomé-et-Principe;1;0,2;34;7;0,31;45;4,6;44;3;61;64;1850
Tchad;1284;11,5;45;16;27;125;6;45;3;48;51;1160
Afrique du Sud;1221;50,5;21;14;57;48;2,4;30;5;53;54;10050
Botswana;582;2;26;14;2,9;36;3,1;32;4;54;52;12840
Lesotho;30;2,2;27;15;2,8;91;3,1;37;4;49;48;1800
Namibie;824;2,3;26;8;3,6;31;3,3;36;4;62;63;6350
Swaziland;17;1,2;30;14;1,7;67;3,5;38;3;49;48;4790
Canada;9971;34,5;11;7;47;5;1,7;16;14;78;83;37280
États-Unis;9629;311,7;13;8;423;6;2;20;13;75;80;45640
Belize;23;0,32;25;4;0,5;17;2,9;36;4;72;76;5990
Costa Rica;51;4,7;16;4;6;9;1,9;24;7;77;82;10930
Guatemala;109;14,7;30;6;27;30;3,6;41;4;67;74;4570
